Description;Category
IFOOD *CLUBE *IFOOD;RESTAURANTES
- PAY PANIFICADOR;MERCADO
PAGAMENTO FELIPED;OUTROS
JUROS SALARIO POUPANCA;RECEITA
- RSHOP CIA DE BEAL;COMPRAS DIVERSAS
PAY -OUTBACK SHO-04/11;RESTAURANTES
- RSCSS KF HONESTY;MERCADO
ESCOLASEBDOM BOSCO *;EDUCAÇÃO
PIX OI QRS S A. . - / 12 E22;TELECOMUNICAÇÕES
PIX DEPARTAMENT QRS;OUTROS
TINTAS VIRG;COMPRAS DIVERSAS
CENT GLOBAL;OUTROS
HONESTY KF V - CT;MERCADO
- RSHOP POP SACOLAO - 30 04 /;MERCADO
* UBER UBER TRIP *;TRANSPORTE
PAY - GREEN GATE;RESTAURANTES
RES CAMPEAO;OUTROS
HAVAN PAROLI - CT RITIBA;ROUPAS E ACESSÓRIOS
BAGAGGIO;COMPRAS DIVERSAS
DEB AUTOR ZURICH SEGUROS;SEGUROS
- PAY EVENTOS LF 12 - / 10;LAZER E ENTRETENIMENTO
- PAY PAGASMSERV 05 - 06 /;OUTROS
IFOOD IFDWILERSON;RESTAURANTES
POUPANCA JUROS SALARIO;POUPANÇA E INVESTIMENTOS
POUPANÇA REMUNERAÇÃO SALÁRIO;POUPANÇA E INVESTIMENTOS
QRS PIX MUL ROBERTA;TRANSFERÊNCIA BANCÁRIA
BURIT DECIO;OUTROS
- PAY PLK FILIAL;COMPRAS DIVERSAS
- RSCSS PAG * RESTAUR 01 - 01 /;RESTAURANTES
PAY -3102DROGASI;SAÚDE
ENTRETEN TURISMO E. CURITIBA;LAZER E ENTRETENIMENTO
- RSCSS ATLAN POSTO;TRANSPORTE
RSCSS-PET SHOP CL-24/02;CUIDADOS COM O PET
- PAY PANVEL FARM 08 - 12 /;SAÚDE
INT DISTRIBUICA COPEL;MORADIA
PIX TATIANE TRANSF;TRANSFERÊNCIA BANCÁRIA
EM SAQUES DINHEIRO;SAQUES
PAG TIT INT 35354118200;MORADIA
ISABEL TRANSFERÊNCIA;MESADA
PAPELARIA MEGA BAZAR;EDUCAÇÃO
- PAY - PANIFICADOR 24 05 /;MERCADO
MAFIA LA;RESTAURANTES
* PG NARR UNIVERSO 10 12 /;EDUCAÇÃO
- RSCSS BRASI DAISO;COMPRAS DIVERSAS
QRS PIX PAY STEA07 BY 03 /;LAZER E ENTRETENIMENTO
PANIFICADOR;RESTAURANTES
CINEMARK;LAZER E ENTRETENIMENTO
LJ 0041 SHOP - CT BA IO;COMPRAS DIVERSAS
PAY FERNANDA -;OUTROS
MEGA PAPELAR-CT BAZAR;EDUCAÇÃO
ESPA VINDI * - AS03 CT / 03;LAZER E ENTRETENIMENTO
- PAY PANVEL - FARM 10 10 /;SAÚDE
MP WHISKYA;RESTAURANTES
- PAY BRASIL ROSA - / 25 11;OUTROS
PRIME AMAZON ALUGUEL;LAZER E ENTRETENIMENTO
CASA AUROKE;MERCADO
UBER UBER * TRIP *;TRANSPORTE
PAY -FARMACIA UN-03/06;SAÚDE
PARAR SEM * PARAR SEM;TRANSPORTE
UBER UBER * TRIP *;TRANSPORTE
BONAGRÃO;MERCADO
- PAY CONDOR CHAM - 06 / 03;MERCADO
POSTO - AUTO CT;TRANSPORTE
LUIZ ELVIS - CT B;OUTROS
POR MUFFATO;MERCADO
PAY - ELVIS LUIZ 25 - 05 /;LAZER E ENTRETENIMENTO
* UBER * UBER TRIP;TRANSPORTE
PAY - POR MUFFATO 12 - 10 /;MERCADO
RESTAURANTES;RESTAURANTES
DA CLARO MOVEL 08806989;TELECOMUNICAÇÕES
FOLHA MENSAL PAGAMENTO;SALÁRIO
PAY - IG PRIMEIRA 13 - 03 /;DOAÇÕES OU CONTRIBUIÇÕES
ROSA SHOK - CT;COMPRAS DIVERSAS
TRANSF PIX / TATIANE26 02;OUTROS
SAL MUSTANG;RESTAURANTES
PAY - POP - SACOLAO 11 03 /;MERCADO
- RSHOP CAVEZZALE;COMPRAS DIVERSAS
BURACO DO P;LAZER E ENTRETENIMENTO
VERDE HIPER;MERCADO
PAY - CUZ DA CUZ 11 - / 12;RESTAURANTES
KF HONESTY;MERCADO
PAY -PAO QUEIJO;RESTAURANTES
- PAY E MUCHINSKI;OUTROS
RSHOP - AREATEC - - 31 T 12 /;COMPRAS DIVERSAS
SEM PARAR * ABASTECE;TRANSPORTE
TRANSF PIX TATIANE;TRANSFERÊNCIA BANCÁRIA
- PAY HNA OBOTICA * - / 02 12;COMPRAS DIVERSAS
PAG INT TIT 237 BANCO;MORADIA
PAY -PASTELARIA -24/05;RESTAURANTES
KF HONESTY;MERCADO
- RSCSS KF HONESTY;MERCADO
- PAY SAMEANDERSO 28 - 10 /;RESTAURANTES
RSHOP - PANVEL FARM;SAÚDE
- EM2 PAY COMERCI;COMPRAS DIVERSAS
- PAY - IFDFREDDO / 26 02;RESTAURANTES
PAY - POP SACOLAO - / 12 23;MERCADO
IFOOD FAST IFDZORA;RESTAURANTES
LOJA LIGHTLA-CT;COMPRAS DIVERSAS
SEM PARAR * ABASTECE;TRANSPORTE
FOLHA FERIAS DE;SALÁRIO
PAGAMENTO VEÍCULO FINANCEIRO;TRANSPORTE
* ESCOLASEBDOM BOSCO;EDUCAÇÃO
- PAY BAMBU COCO;RESTAURANTES
FOLHA MENSAL PAGAMENTO;RECEITA
- PAY ELVIS LUIZ - 27 09 /;OUTROS
QRS OI PIX. A S. - E02 / 10;TELECOMUNICAÇÕES
- PAY DA ARTE GUL;COMPRAS DIVERSAS
QRS PIX S CLARO. A. 02 01 /;TELECOMUNICAÇÕES
- RSCSS KF HONESTY - 26 02 /;MERCADO
BAS REMUNER SALARIO POUP;POUPANÇA E INVESTIMENTOS
PRIMEIRA - IGR BATIST CT;OUTROS
TRANSF PIX 20 FELIPE / 06;TRANSFERÊNCIA BANCÁRIA
CCI ESTAPAR CT -;TRANSPORTE
PAY QUERE - POSTO;TRANSPORTE
- PAY PAG ANDREPA * 04 - / 10;OUTROS
- RSCSS PANIFICADOR - 03 03 /;MERCADO
RICCA CT PASTA -;RESTAURANTES
* IFOOD CLUBE IFOOD *;RESTAURANTES
MERCADOLIVRE ESTONENOVO *;COMPRAS DIVERSAS
SHOP FAST SA 04 12 /;COMPRAS DIVERSAS
- PAY NANDRE ALIM - / 11 27;OUTROS
STUDIO NMACH-CT;OUTROS
PAY -YANG -27/10;RESTAURANTES
- RSCSS 290 POSTO;TRANSPORTE
RSCSS-HONESTY KF -26/02;MERCADO
TURISMO ENTRETEN. E CURITIBA;LAZER E ENTRETENIMENTO
DO HARMONIA;CUIDADOS PESSOAIS
RSHOP - IN DRIVE BU - 05 26 /;RESTAURANTES
PAY -LUIZ ELVIS -29/10;OUTROS
PG *TON ASSA-CT;OUTROS
ESCOLASEBDOM BOSCO *;EDUCAÇÃO
COMERCIO K2 - DU01 CT 02 /;COMPRAS DIVERSAS
INT PAG TIT 157000402094;MORADIA
RSCSS - CHIC VILLA - 12 11 /;OUTROS
TRANSF PIX PRIMEIR26 10 /;OUTROS
QRS CLARO PIX S. . A;TELECOMUNICAÇÕES
* MICROSOFT SUBSCRIPTION;LAZER E ENTRETENIMENTO
* UBER UBER TRIP *;TRANSPORTE
- DAISO RSCSS BRASI;COMPRAS DIVERSAS
HONESTY RSCSS - KF;MERCADO
PAY - - COPY 24 PAPER / 05;COMPRAS DIVERSAS
MUFFATO PAY - POR - / 02 11;MERCADO
PAY GREEN GATE -;RESTAURANTES
SHOP PET - CLA CT LIVEIR;CUIDADOS COM O PET
PIX BENAIA TRANSF;OUTROS
MARKETP PIX;TRANSFERÊNCIA BANCÁRIA
PAY - C BARAQUIAS 07 - 12 /;RESTAURANTES
PAY -IMPULSO PAR;LAZER E ENTRETENIMENTO
SAL MUSTANG;RESTAURANTES
- RSCSS KF HONESTY;MERCADO
REMUNER BAS POUP SALARIO;POUPANÇA E INVESTIMENTOS
* DM L CRUNCHYROLL;LAZER E ENTRETENIMENTO
INT VS UNICLASS;PAGAMENTO CARTÃO
POSTO AUTO;TRANSPORTE
DA CLARO MOVEL 08806989;TELECOMUNICAÇÕES
COCO PAY - BAMBU;RESTAURANTES
PASTA RICCA CT -;RESTAURANTES
PAY - 01 PANIFICADOR - 12 /;MERCADO
- PAY GARAGEM BAT - 09 30 /;TRANSPORTE
TRANSFERÊNCIA MEGA;TRANSFERÊNCIA BANCÁRIA
PRATA BELE E - OMERCI CT;COMPRAS DIVERSAS
MICROSOFT STORE *;COMPRAS DIVERSAS
PIX TATIANE TRANSF;TRANSFERÊNCIA BANCÁRIA
RSHOP-AREATEC - T-31/12;COMPRAS DIVERSAS
ZEZE BIJUTER-CT;COMPRAS DIVERSAS
- BMB PARK CT;TRANSPORTE
SHOP FAST SA 04 12 /;COMPRAS DIVERSAS
FLEX CLARO;TELECOMUNICAÇÕES
PAY -HONESTY KF -08/10;MERCADO
- RSCSS * PAG RESTAUR 01 - / 01;RESTAURANTES
DRIVE BK PO - / 05 22;RESTAURANTES
RSCSS - PASSAUNA PA;LAZER E ENTRETENIMENTO
DE FOLHA PARTICIPACAO;OUTROS
PAY RESTAURANTES - 13 - 12 /;RESTAURANTES
RSCSS - - PAMONHAS 24 SE / 02;RESTAURANTES
- PAY POP SACOLAO - 08 12 /;MERCADO
ALIMENT GWB;RESTAURANTES
PIX TRANSF MARCIO / 06 26;TRANSFERÊNCIA BANCÁRIA
PIX QRS DEMERGE12/03;OUTROS
PIX ISABELL08 TRANSF 03 /;MESADA
- RSCSS CAFE PIB ME;RESTAURANTES
UBER * * TRIP UBER;TRANSPORTE
PRIME AMAZON ALUGUEL;LAZER E ENTRETENIMENTO
DRIVE POR BK - CT FRANCI;RESTAURANTES
- PANIFICADORA ILIA CT;MERCADO
MP WHISKYA *;OUTROS
ULTRAGAZ DA 21900 DEMAI;MORADIA
- PAY ELVIS LUIZ - / 14 06;OUTROS
ASSA FRANGO;RESTAURANTES
SEM PANMONHAS CT - TURA;RESTAURANTES
RSHOP - CIA BEAL DE;COMPRAS DIVERSAS
TRANSF PIX MARCIO 26 06 /;TRANSFERÊNCIA BANCÁRIA
GYMPASSBR GYMPASS;SAÚDE
IFOOD COM IFDZETAY;RESTAURANTES
COLET TRANSPO CT - - FUC;TRANSPORTE
JUROS POUPANÇA SALÁRIO;POUPANÇA E INVESTIMENTOS
COXINHA;RESTAURANTES
* PAG ATENAFEN CT -;OUTROS
POSTO AUTO;TRANSPORTE
PAG * - CT GAROTAFA 03 N / 03;ROUPAS E ACESSÓRIOS
PAY -HONESTY KF -01/11;MERCADO
PIX TRANSF MARCIO 06/05;TRANSFERÊNCIA BANCÁRIA
RSHOP - POSTO MENGU;TRANSPORTE
PAGAMENTO FOLHA MENSAL;OUTROS
PAY -POSTO KAIMA-18/01;TRANSPORTE
TRANSF PIX MARTTER;TRANSFERÊNCIA BANCÁRIA
CHATGPT SUBSCRIPTION;LAZER E ENTRETENIMENTO
- PAY TRIPARK EST - 10 29 /;TRANSPORTE
PANIFICADOR PAY - - 01 12 /;MERCADO
JUROS SALÁRIO POUPANÇA;POUPANÇA E INVESTIMENTOS
PAY GREEN GATE -;RESTAURANTES
PAY - DRIVE IN BU;RESTAURANTES
INT VS UNICLASS;PAGAMENTO CARTÃO
- PAY FARMACIA 28 UN - / 09;SAÚDE
PAY REGINA - - FENA 02 12 /;MERCADO
LUIZ ELVIS B-CT EZAM M;OUTROS
* PAG ATENAFENIX;OUTROS
- RSHOP POP SACOLAO - / 08 03;MERCADO
HIPER VERDE;MERCADO
HONESTY KF;MERCADO
CENTAURO 84 CE;COMPRAS DIVERSAS
TRANSF PIX ISABELL13 03 /;MESADA
PAY - * PAG - CARMELA / 28 09;RESTAURANTES
MERLIN LEROY;COMPRAS DIVERSAS
BANCO MOBILEPAG TIT 237;OUTROS
TRANSF PIX MARCIO;TRANSFERÊNCIA BANCÁRIA
PAROLI HAVAN - RI02 CT 02 /;ROUPAS E ACESSÓRIOS
PANIFICADORA - CT ILIA;MERCADO
PAY -SAMEANDERSO-28/10;RESTAURANTES
PAY HONESTY - KF - / 10 08;MERCADO
PAY -RESTAURANTES;RESTAURANTES
PARAR SEM ABASTECE *;TRANSPORTE
PAY - FARMACIA UN;SAÚDE
KF HONESTY - V CT;MERCADO
PIX BENAIA TRANSF;OUTROS
Y PASTELARIA CT -;RESTAURANTES
- PAY TRIPARK EST 29 - 10 /;TRANSPORTE
- PAY KOPENHAGEN - 05 29 /;RESTAURANTES
PIX QRS SHOP FAST S27 / 10;COMPRAS DIVERSAS
TED 745. 0001. PAYPAL B D;RECEITA
- PAY - PANIFICADOR 24 05 /;MERCADO
COPEL DISTRIBUICA INT 00;MORADIA
PAY - ZUL CREDI 18 3 - / 10;TRANSPORTE
PAY MERCADOTECA - - 05 05 /;RESTAURANTES
* UBER TRIP;TRANSPORTE
PIX BUS QRS SERVICO30 11 /;OUTROS
PIX TRANSF TATIANE02/01;TRANSFERÊNCIA BANCÁRIA
POUPANCA JUROS SALARIO;POUPANÇA E INVESTIMENTOS
VIRG TINTAS;COMPRAS DIVERSAS
TRANSF TATIANE27 PIX / 10;OUTROS
- PAY DA PEREIRA - / 15 11;OUTROS
PAY - AUROKE CASA - / 18 12;MERCADO
PIX THIAGO TRANSF / 19 02;OUTROS
BRASI MAHLE;MERCADO
- PAY PASTELJ MP - 08 06 /;RESTAURANTES
FOLHA MENSAL PAGAMENTO;SALÁRIO
IFDMCDONALDS IFOOD;RESTAURANTES
TAMIRES TRANSFERÊNCIA;TRANSFERÊNCIA BANCÁRIA
CANTIN PRIMA CT -;RESTAURANTES
VINDI * CT ESPA AS03 - / 03;LAZER E ENTRETENIMENTO
- RSHOP 2148 RAIA;COMPRAS DIVERSAS
BAS REMUNER SALARIO POUP;POUPANÇA E INVESTIMENTOS
AMAZON ALUGUEL PRIME;LAZER E ENTRETENIMENTO
ESCOLASEBDOM BOSCO *;EDUCAÇÃO
DA DEMAI 21900 ULTRAGAZ;MORADIA
PET CLA SHOP - LIVEIR CT;CUIDADOS COM O PET
- PAY DONA DEOLA - / 11 29;RESTAURANTES
DRIVE BURGER IN;LAZER E ENTRETENIMENTO
FOLHA PAGTO. SALARIO 13;SALÁRIO
LAGO BRASAL;OUTROS
LIVRE MERCADO LHSHOOP *;COMPRAS DIVERSAS
QRS PIX VIA A S / 17 10;OUTROS
POUPANÇA JUROS;POUPANÇA E INVESTIMENTOS
HONESTY V KF CT -;MERCADO
. ALIMENTAÇÃO CURITIBA;RESTAURANTES
BAS REMUNER SALARIO POUP;POUPANÇA E INVESTIMENTOS
SHOW CACAU;COMPRAS DIVERSAS
* IFOOD * CLUBE IFOOD;RESTAURANTES
SACOLAO POPU - CT;MERCADO
PAY HONESTY KF - - 23 12 /;RESTAURANTES
- PAY ESTA LEABER - 06 12 /;TRANSPORTE
IFD * FOOD TR;RESTAURANTES
PIX MARCIO TRANSF;TRANSFERÊNCIA BANCÁRIA
PAGAMENTO DE 237 TÍTULO BANCO;MORADIA
REMUNER SALARIO BAS POUP;POUPANÇA E INVESTIMENTOS
* WOW NIX CT BEAU - ALON P;COMPRAS DIVERSAS
JORGELU;OUTROS
- PAY DRIVE BU IN;RESTAURANTES
MADEIRAMADEIR / 03 01;COMPRAS DIVERSAS
RSHOP PRATA - ART E;COMPRAS DIVERSAS
PAY - PAG RESTAUR * 27 - 11 /;RESTAURANTES
RSHOP PRATA - ART E;COMPRAS DIVERSAS
RSHOP-PAGADCOSCU;COMPRAS DIVERSAS
POUP REMUNER BAS SALARIO;POUPANÇA E INVESTIMENTOS
LOJAS AMERIC 15 - CT;COMPRAS DIVERSAS
- RSCSS ARMAZEM VIL - / 06 23;RESTAURANTES
GUIL CARLOS;OUTROS
DA 21900 ULTRAGAZ DEMAI;MORADIA
BRASIL EMPRESA;OUTROS
POUPANCA JUROS SALARIO;POUPANÇA E INVESTIMENTOS
TRANSF PIX TATIANE;TRANSFERÊNCIA BANCÁRIA
PAY - - PASTELARIA 05 24 /;RESTAURANTES
POP SACOLAO;MERCADO
IFOOD IFDCHINA IN;RESTAURANTES
- FARMACIA PAY UN - 24 02 /;SAÚDE
* UBER * UBER TRIP;TRANSPORTE
- PAGANGELAA PAY - 11 05 /;OUTROS
COM BELS ART - TAS CT;COMPRAS DIVERSAS
HAVAN PAROLI RITIBA - CT;ROUPAS E ACESSÓRIOS
PIX TRANSF MARCELA28/04;TRANSFERÊNCIA BANCÁRIA
- LA PAY PIZZARIA - 01 01 /;RESTAURANTES
UBER TRIP *;TRANSPORTE
ULTRAGAZ DEMAI DA 21900;MORADIA
* PG TON ASSA CT -;OUTROS
- ROSA SHOK CT;COMPRAS DIVERSAS
BAS REMUNER SALARIO POUP;RECEITA
ESTAPAR CCI -CT;TRANSPORTE
- PAY BATEL BDA - 24 06 /;OUTROS
PAY -RESTAURANTE-26/05;RESTAURANTES
AUTO POSTO;TRANSPORTE
DO BURACO P;LAZER E ENTRETENIMENTO
PAY PUHL - - ESTACI 14 12 /;TRANSPORTE
SEM PARAR * ABASTECE;TRANSPORTE
PAY FERNANDA -;OUTROS
- RSHOP PAGADCOSCU;COMPRAS DIVERSAS
PAY - UN - FARMACIA 04 05 /;SAÚDE
CASA BARRUN -CT;COMPRAS DIVERSAS
POSTO RSCSS - ATLAN;TRANSPORTE
* PPRO MICROSOFT;LAZER E ENTRETENIMENTO
. NETFLIX COM;LAZER E ENTRETENIMENTO
- PAY - PAGASMSERV 16 06 /;OUTROS
UNICLASS INT VS;PAGAMENTO CARTÃO
RIACHUELO 05-CT C01/03;ROUPAS E ACESSÓRIOS
- RSHOP 2148 RAIA;COMPRAS DIVERSAS
N POSTO 1;TRANSPORTE
PAY - - 07 PANIFICADOR 06 /;MERCADO
- PAY PAO DE 03 ALHO - / 03;RESTAURANTES
PAY - COFFEE GRAN - 12 12 /;RESTAURANTES
* PG UNIVERSO 10 NARR 12 /;EDUCAÇÃO
POR MUFFATO;MERCADO
PANIFICADORA CT ILIA -;MERCADO
PIX TRANSF ISABELL;MESADA
PAY -VISAO CURIT-18/10;SAÚDE
PIX ISABELL06 TRANSF 11 /;MESADA
* PAG MAURICIO - ECIDO CT;OUTROS
POUPANCA JUROS SALARIO;POUPANÇA E INVESTIMENTOS
- PAY CUZ CUZ DA - / 11 30;RESTAURANTES
- RSCSS PAG * RESTAUR 01 - 01 /;RESTAURANTES
PRIME AMAZON ALUGUEL;LAZER E ENTRETENIMENTO
UBER * TRIP UBER *;TRANSPORTE
- GREEN PAY GATE;RESTAURANTES
PAY - VINI ARTHUR 15 - 06 /;OUTROS
ULTRAGAZ DA 21900 DEMAI;MORADIA
RESTAURANTES;RESTAURANTES
BONAGRÃO;MERCADO
ISABEL TRANSFERÊNCIA;MESADA
- PAY HONESTY - KF 26 10 /;MERCADO
PAY - LT LN CAFES - 27 10 /;RESTAURANTES
- PAY REGINA - FENA 02 12 /;MERCADO
RSHOP-EM2 COMERCI-18/05;MERCADO
LUIZ ELVIS B-CT;OUTROS
- PAY PAG CARMELA * 28 - / 09;RESTAURANTES
PAY - - HONESTY KF 25 10 /;MERCADO
* MICROSOFT 365 MICROSOFT;LAZER E ENTRETENIMENTO
PAY PIZZ - MILLAN;RESTAURANTES
FLEX CLARO;TELECOMUNICAÇÕES
UBER * * TRIP UBER;TRANSPORTE
MEGA PAPELARIA BAZAR;EDUCAÇÃO
- FAST PAY SHOP - S 04 / 03;COMPRAS DIVERSAS
BUBBLE PAY - MIX 22 - / 12;RESTAURANTES
PAY RESTAURANTES -;RESTAURANTES
PAY -PAGASMSERV-08/05;OUTROS
PIX TRANSF MARCELA28 / 04;TRANSFERÊNCIA BANCÁRIA
- PAY WAL BOURBON;LAZER E ENTRETENIMENTO
TRANSF PIX ISABELL;MESADA
GYMPASSBR GYMPASS;SAÚDE
CAMPEAO RES;OUTROS
REMUNER BAS POUP SALARIO;POUPANÇA E INVESTIMENTOS
PAY -SACOLAO POP-19/11;MERCADO
PRIME AMAZON ALUGUEL;LAZER E ENTRETENIMENTO
BAGAGGIO;COMPRAS DIVERSAS
- G PAY B STRAPAS;COMPRAS DIVERSAS
- PAY DO CIDADAO - 27 06 /;RESTAURANTES
- PAY KF HONESTY - 25 10 /;MERCADO
TRANSF PIX TATIANE;TRANSFERÊNCIA BANCÁRIA
- RSHOP POSTO AUTO;TRANSPORTE
PAGAMENTO FOLHA MENSAL;OUTROS
- PAY BAMBU COCO - 06 05 /;RESTAURANTES
RESTAURANTES;RESTAURANTES
MICROSOFT SUBSCRIPTION *;LAZER E ENTRETENIMENTO
PAY O - BAR CHOPP - 13 12 /;RESTAURANTES
AGUA DAJU VE - 02 CT 02 /;ROUPAS E ACESSÓRIOS
ASMSERV;OUTROS
PAY -IFDTROPICA;OUTROS
COBASI CURITIBA NO02 / 02;CUIDADOS COM O PET
LEO COSMETIC - CT;COMPRAS DIVERSAS
* UBER UBER * TRIP;TRANSPORTE
JENNIFER DO - CT O CORD;OUTROS
- RSHOP POP SACOLAO;MERCADO
PAY - LA PIZZARIA;RESTAURANTES
REMUNERAÇÃO SALÁRIO POUPANÇA;POUPANÇA E INVESTIMENTOS
- SACOLAO PAY POP - 17 06 /;MERCADO
FARMACIA DO - CT PING;SAÚDE
PAY -PANIFICADOR-03/05;MERCADO
AMAZON PRIME ALUGUEL;LAZER E ENTRETENIMENTO
COLET TRANSPO CT - NSP E.;TRANSPORTE
HAVAN PAROLI-CT RITIBA;ROUPAS E ACESSÓRIOS
TRANSF ANA PIX PAU;TRANSFERÊNCIA BANCÁRIA
UBER UBER * TRIP *;TRANSPORTE
FAST SHOP SA 06 / 12;COMPRAS DIVERSAS
HAVAN PAROLI RITIBA - CT;ROUPAS E ACESSÓRIOS
CHEE LANCHES - CT;RESTAURANTES
FAST SHOP SA 06 / 12;COMPRAS DIVERSAS
PAY - O PUDIM PER 25 - / 02;RESTAURANTES
PIX TRANSF WESTERN;TRANSFERÊNCIA BANCÁRIA
* UBER UBER TRIP *;TRANSPORTE
- PAY - KORINGA TAB 31 / 12;RESTAURANTES
- PAY MAMBEMBE GA 10 - 12 /;LAZER E ENTRETENIMENTO
ASMSERV;OUTROS
- PAY PAGJOHNNYR;OUTROS
PAY -MP PASTELJ-08/06;RESTAURANTES
- PAY DONA DEOLA - 11 29 /;RESTAURANTES
RSHOP - POP SACOLAO - / 04 30;MERCADO
* CRUNCHYROLL DM L;LAZER E ENTRETENIMENTO
TED. 0001 745. PAYPAL B D;RECEITA
CRUNCHYROLL DM * L;LAZER E ENTRETENIMENTO
POUPANÇA REMUNERAÇÃO SALÁRIO;POUPANÇA E INVESTIMENTOS
PIX ISABELL12 TRANSF 05 /;MESADA
CURITI - BANCA CT;OUTROS
- PAY - LUIZ ELVIS 29 / 10;OUTROS
AMAZON ALUGUEL PRIME;LAZER E ENTRETENIMENTO
01 PORCELANAS SCHMID / 03;COMPRAS DIVERSAS
PAY -GIOVANA SZN-17/05;CUIDADOS PESSOAIS
PAY - PAG PRISMAM * 09 - 12 /;OUTROS
TRANSF PIX PRIMEIR03 01 /;DOAÇÕES OU CONTRIBUIÇÕES
CURITIBA HOBBY;LAZER E ENTRETENIMENTO
- PAY - PANIFICADOR 21 12 /;MERCADO
PAY - BARBEARIA P;CUIDADOS PESSOAIS
HNA QDBERENI * CT -;OUTROS
PAGASMSERV PAY - 05 - / 06;OUTROS
PAY -O PUDIM PER-25/02;RESTAURANTES
- DAISO RSCSS BRASI;COMPRAS DIVERSAS
POSTO AUTO CT -;TRANSPORTE
STAR SH 191;RESTAURANTES
- PAY LA PIZZARIA 01 - 01 /;RESTAURANTES
- RSCSS 290 POSTO - / 01 01;TRANSPORTE
QRS PIX DEPARTAMENT;OUTROS
JUROS POUPANCA SALARIO;POUPANÇA E INVESTIMENTOS
PIX PIX MARKETP QRS;TRANSFERÊNCIA BANCÁRIA
PAY PANIFICADOR - 10 - 03 /;MERCADO
WOW NIX * BEAU - CT ALON P;COMPRAS DIVERSAS
YANG CT -;RESTAURANTES
AMAZON PRIME ALUGUEL;LAZER E ENTRETENIMENTO
FLEX CLARO;TELECOMUNICAÇÕES
PAY TRIPARK - - EST 29 10 /;TRANSPORTE
FLEX CLARO;TELECOMUNICAÇÕES
- PAY BK PO DRIVE - 21 06 /;RESTAURANTES
A RENT - WISH CA02 CT / 02;OUTROS
TRANSF PIX THIAGO 06 05 /;TRANSFERÊNCIA BANCÁRIA
PAY -FARMACIA UN;SAÚDE
UBER *TRIP HELP.UBER.CO;TRANSPORTE
ISABELL08 PIX TRANSF / 03;MESADA
FESTIVAL;MERCADO
* MICROSOFT 365 MICROSOFT;LAZER E ENTRETENIMENTO
PAY -HONESTY KF -04/12;MERCADO
IFOOD FAST IFDZORA;RESTAURANTES
REMUNER BAS POUP SALARIO;POUPANÇA E INVESTIMENTOS
TRANSF PIX ISABELL23 06 /;MESADA
- FARMACIA RSHOP E;SAÚDE
TRANSPO COLET - CT - FUC;TRANSPORTE
TRANSF PIX TATIANE;TRANSFERÊNCIA BANCÁRIA
- RSHOP POP SACOLAO;MERCADO
* LOJASRENNER PAG 02 / 03;ROUPAS E ACESSÓRIOS
- TERRA PAY E MAR - 04 11 /;RESTAURANTES
INT PAG TIT 157000402094;MORADIA
SUBSCRIPTION CHATGPT;LAZER E ENTRETENIMENTO
- PAY - VARIEDADES 02 12 /;OUTROS
DRIVE BK - PO 22 05 /;RESTAURANTES
PAGTO FINANC VEIC 24/24;TRANSPORTE
PAY - HNA * - OBOTICA 12 02 /;COMPRAS DIVERSAS
* MICROSOFT MICROSOFT 365;LAZER E ENTRETENIMENTO
REMUNER SALARIO BAS POUP;POUPANÇA E INVESTIMENTOS
UNICLASS INT VS;PAGAMENTO CARTÃO
TRANSF PIX ISABELL08 03 /;MESADA
PAY QUERE - POSTO;TRANSPORTE
PAY - MIX BUBBLE - 12 22 /;RESTAURANTES
MOBILEPAG TIT BANCO 033;OUTROS
* MICROSOFT SUBSCRIPTION;LAZER E ENTRETENIMENTO
* MICROSOFT SUBSCRIPTION;LAZER E ENTRETENIMENTO
INT UNICLASS VS;PAGAMENTO CARTÃO
* PAG - ASMSERVI CT;COMPRAS DIVERSAS
- HONESTY PAY KF 12 - / 11;MERCADO
REMUNER BAS POUP SALARIO;POUPANÇA E INVESTIMENTOS
PAY PANIFICADOR -;MERCADO
PAY -HONESTY KF -17/11;MERCADO
INT DISTRIBUICA COPEL;MORADIA
PAGTO VEIC FINANC 16 24 /;TRANSPORTE
TRANSF PIX TATIANE;OUTROS
IFOOD IN IFDCHINA;RESTAURANTES
PIX TRANSF THIAGO 05/05;TRANSFERÊNCIA BANCÁRIA
* PAG - JOSECARL CT;OUTROS
COXINHA;RESTAURANTES
POUPANCA JUROS SALARIO;POUPANÇA E INVESTIMENTOS
TIT MOBILEPAG 3535411820;OUTROS
- PAY PAG PRISMAM * - 09 12 /;OUTROS
* UNIVERSO PG 09 NARR / 12;EDUCAÇÃO
RSCSS - MC DONALDS;RESTAURANTES
PAY -DRIVE IN BU;RESTAURANTES
ESCOLASEBDOM BOSCO *;EDUCAÇÃO
QRS PIX SEM PARAR I10 / 03;TRANSPORTE
PIX PIX MARKETP28 QRS / 12;COMPRAS DIVERSAS
VERDE HIPER;MERCADO
PAG*CAMILACA-CT O;COMPRAS DIVERSAS
PAY GRAN - COFFE 12 - 12 /;RESTAURANTES
COSMETIC - LEO CT;COMPRAS DIVERSAS
- PAY ESPETINHOS 25 - 02 /;RESTAURANTES
- PAY PANIFICADOR 07 - 06 /;MERCADO
RSHOP - LEROY MERLI;COMPRAS DIVERSAS
- PAY GELA FREDDO;RESTAURANTES
GYMPASSBR GYMPASS;SAÚDE
- RSCSS KF HONESTY - / 26 02;MERCADO
